variables,type,units,values,description
fixedse.yaw,input,deg,[0.],
fixedse.rho_water,input,kg/m**3,[1025.],
fixedse.z0,input,m,[0.],
fixedse.water_depth,input,m,[-30.],
fixedse.Uc,input,m/s,[0.],mean current speed
fixedse.Hsig_wave,input,m,[4.52],
fixedse.Tsig_wave,input,s,[9.45],
fixedse.beta_wave,input,deg,[0.],
fixedse.mu_water,input,kg/m/s,[0.0013351],
fixedse.ca_usr,input,,[-1.],
fixedse.cd_usr,input,,[-1.],
fixedse.env.Uref,input,m/s,[0.],
fixedse.shearExp,input,,[0.2],
fixedse.beta_wind,input,deg,[0.],
fixedse.rho_air,input,kg/m**3,[1.225],
fixedse.mu_air,input,kg/m/s,[1.81e-05],
fixedse.s_all,input,,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.member.s_ghost1,input,,[0.],
fixedse.member.s_ghost2,input,,[1.],
fixedse.s_const2,input,,[0.],
fixedse.monopile_layer_thickness,input,m,"[[0.05886555 0.00401294 0.07266163 0.02178336 0.04933778 0.0159257
  0.04402839]]",
fixedse.monopile_outer_diameter_in,input,m,"[9.97630327 9.97630327 9.48885621 9.48929391 9.48935086 9.48935182
 9.48935183]",
fixedse.E_mat,input,Pa,"[[4.560e+06 4.560e+06 4.560e+06]
 [2.179e+10 1.467e+10 1.467e+10]
 [1.392e+10 1.392e+10 1.392e+10]
 [4.163e+10 1.493e+10 1.493e+10]
 [5.000e+07 5.000e+07 5.000e+07]
 [1.000e+06 1.000e+06 1.000e+06]
 [2.100e+11 2.100e+11 2.100e+11]
 [4.560e+06 4.560e+06 4.560e+06]]",
fixedse.E_user,input,Pa,[0.],
fixedse.G_mat,input,Pa,"[[1.52000000e+06 1.52000000e+06 1.52000000e+06]
 [9.41300000e+09 4.53864000e+09 4.53864000e+09]
 [1.15000000e+10 4.53864000e+09 4.53864000e+09]
 [5.04700000e+09 5.04700000e+09 5.04700000e+09]
 [1.67000000e+07 1.67000000e+07 1.67000000e+07]
 [3.84615385e+05 3.84615385e+05 3.84615385e+05]
 [8.07692308e+10 8.07692308e+10 8.07692308e+10]
 [1.52000000e+06 1.52000000e+06 1.52000000e+06]]",
fixedse.sigma_y_mat,input,Pa,[0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 0.0e+00 4.5e+08 0.0e+00],
fixedse.sigma_ult_mat,input,Pa,"[[0.00e+00 0.00e+00 0.00e+00]
 [6.00e+08 6.00e+08 6.00e+08]
 [6.00e+08 6.00e+08 6.00e+08]
 [6.00e+08 6.00e+08 6.00e+08]
 [0.00e+00 0.00e+00 0.00e+00]
 [0.00e+00 0.00e+00 0.00e+00]
 [3.55e+08 3.55e+08 3.55e+08]
 [6.90e+05 6.90e+05 6.90e+05]]",
fixedse.wohler_exp_mat,input,,[1. 1. 1. 1. 1. 1. 1. 1.],
fixedse.wohler_A_mat,input,,[0.00e+00 6.00e+08 6.00e+08 6.00e+08 0.00e+00 0.00e+00 3.55e+08 6.90e+05],
fixedse.rho_mat,input,kg/m**3,[1100.  1845.  1845.  1915.5  110.  1150.  8500.  1100. ],
fixedse.unit_cost_mat,input,USD/kg,[ 7.23  2.86  3.    1.87 13.    3.63  0.    0.  ],
fixedse.outfitting_factor_in,input,,[1.07],
fixedse.monopile_layer_materials,input,Unavailable,['steel'],
fixedse.member.ballast_materials,input,Unavailable,[],
fixedse.material_names,input,Unavailable,"['paint', 'triax', 'biax', 'uniax', 'balsa', 'resin', 'steel', 'adhesive']",
fixedse.labor_cost_rate,input,USD/min,[0.98],
fixedse.painting_cost_rate,input,USD/m**2,[30.],
fixedse.transition_piece_mass,input,kg,[100000.],
fixedse.transition_piece_cost,input,USD,[500000.],
fixedse.gravity_foundation_mass,input,kg,[0.],
fixedse.monopile.rna_F,input,N,"[[ 2.24067125e+06]
 [-3.70251651e+03]
 [-6.38902888e+06]]",
fixedse.monopile.rna_M,input,N*m,"[[  -684465.49250858]
 [-30894909.33681112]
 [  6612313.40965286]]",
fixedse.rna_mass,input,kg,[825984.97715361],
fixedse.rna_I,input,kg*m**2,"[2.21927957e+08 1.60976174e+08 1.55911834e+08 2.07017680e+02
 6.23958851e+06 8.14619002e+04]",
fixedse.rna_cg,input,m,[-6.58645204 -0.06649943  2.80042883],
fixedse.post.section_L,input,m,[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],
fixedse.post_monopile_tower.section_rho,input,kg/m**3,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]",
